Index,Spanish,English,Rating,Major,Minor,Gender,Quantity
106,conseguir,get,2,2,2,,
107,lugar,place,4,3,3,1,1
108,hecho,made,2,2,2,,
109,vivir,live,4,2,1,,
110,donde,where,4,6,,,
111,después,after,4,6,,,
112,espalda,back,4,3,2,2,1
113,poco,little,2,4,2,,
114,sólo,only,4,5,,,
115,ronda,round,4,3,9,2,1
116,hombre,man,4,1,1,1,1
117,año,year,4,3,10,1,1
118,vino,came,2,2,2,,
119,mostrar,show,2,2,1,,
120,cada,every,4,4,4,,
121,buena,good,4,4,6,,
122,me,me,2,1,1,3,1
123,dar,give,4,2,2,,
124,nuestro,our,4,1,2,3,2
125,bajo,under,4,6,,,
126,nombre,name,4,3,2,1,1
127,muy,very,4,5,,,
128,a través de,through,2,6,,,
129,sólo,just,4,5,,,
130,forma,form,4,3,2,2,1
131,frase,sentence,2,3,8,2,1
132,gran,great,4,4,6,,
133,pensar,think,4,2,2,,
134,decir,say,4,2,2,,
135,ayudar,help,4,2,1,,
136,bajo,low,2,4,2,,
137,línea,line,4,3,2,2,1
138,ser distinto,differ,2,2,2,,
139,a su vez,in turn,2,5,,,
140,causa,cause,4,3,9,2,1
141,mucho,much,2,4,2,,
142,significará,mean,2,2,2,,
143,antes,before,4,4,7,,
144,movimiento,move,2,3,9,1,1
145,derecho,right,4,4,5,,
146,niño,boy,4,1,1,1,1
147,viejo,old,2,4,7,,
148,demasiado,too,4,5,,,
149,misma,same,4,4,8,,
150,ella,she,4,1,1,2,1
151,todo,all,4,4,2,,
152,hay,there is,2,2,1,,
153,cuando,when,4,6,,,
154,hasta,up to/until,2,6,,,
155,usar,use,4,2,1,,
156,su,your,4,1,2,3,1
157,camino,way,4,3,3,1,1
158,acerca,about,4,6,,,
159,muchos,many,2,4,2,,
160,entonces,then,4,6,,,
161,ellos,them,2,1,1,1,2
162,escribir,write,4,2,1,,
163,haría,would,4,2,2,,
164,como,like,2,6,,,
165,así,so,2,5,,,
166,éstos,these,4,1,2,1,2
167,su,her,4,1,2,2,1
168,largo,long,4,4,2,,
169,hacer,make,4,2,2,,
170,cosa,thing,4,3,11,2,1
171,ver,see,4,2,2,,
172,él,him,2,1,2,1,1
173,dos,two,4,4,4,,
174,tiene,has,4,2,2,,
175,buscar,look,4,2,1,,
176,más,more,4,4,2,,
177,día,day,4,3,10,2,1
178,podía,could,2,2,2,,
179,ir,go,4,2,2,,
180,venir,come,4,2,2,,
181,hizo,he/she did,2,2,2,,
182,número,number,4,3,8,1,1
183,sonar,sound,2,2,2,,
184,no,no,4,5,,,
185,más,most,2,4,4,,
186,personas,people,4,1,1,3,2
187,mi,my,4,1,2,3,1
188,sobre,over,4,6,,,
189,saber,know,4,2,2,,
190,agua,water,4,3,4,2,1
191,que,than,2,6,,,
192,llamada,call,2,3,9,2,1
193,primero,first,4,4,4,,
194,quién,who,4,6,,,
195,puede,may,2,2,2,,
196,abajo,down,2,4,5,,
197,lado,side,4,3,3,1,1
198,estado,been,4,2,2,,
199,ahora,now,4,4,7,,
200,encontrar,find,4,2,2,,
201,cabeza,head,2,3,2,2,1
202,de pie,standing,2,5,,,
203,propio,own,4,4,5,,
204,página,page,4,3,8,2,1
205,debería,should,4,2,2,,
206,país,country,2,3,5,1,1
207,encontrado,found,4,2,2,,
208,respuesta,answer,4,3,8,2,1
209,escuela,school,4,3,8,2,1
210,crecer,grow,2,2,2,,
211,estudiar,study,4,2,1,,
212,todavía,still,2,5,,,
213,aprender,learn,4,2,1,,
214,planta,plant,2,3,4,2,1
215,cubierta,cover,2,3,6,2,1
216,alimentos,food,2,3,1,1,2
217,sol,sun,4,3,4,1,1
218,cuatro,four,4,4,4,,
219,entre,between,4,6,,,
220,estado,state,4,3,5,1,1
221,mantener,keep,2,2,2,,
222,ojo,eye,4,3,2,1,1
223,nunca,never,4,5,,,
224,último,last,4,4,4,,
225,dejar,let,2,2,1,,
226,pensado,thought,2,3,2,1,1
227,ciudad,city,4,3,5,2,1
228,árbol,tree,2,3,4,1,1
229,cruzar,cross,4,2,1,,
230,granja,farm,4,3,4,2,1
231,duro,hard,4,4,2,,
232,inicio,start,2,3,10,1,1
233,podría,might,2,2,2,,
234,historia,story,4,3,10,2,1
235,sierra,saw,2,3,6,2,1
236,lejos,far,2,4,2,,
237,mar,sea,4,3,4,1,1
238,dibujar,draw,4,2,1,,
239,izquierda,left,4,4,5,,
240,tarde,late,4,4,7,,
241,correr,run,2,2,1,,
242,no,don’t,4,6,,,
243,mientras,while,2,6,,,
244,prensa,press,2,3,7,2,1
245,cerrar,close,2,2,2,,
246,noche,night,4,3,10,2,1
247,real,real,4,4,6,,
248,vida,life,2,3,2,2,1
249,pocos,few,4,4,4,,
250,el norte,north,4,3,5,1,1
251,libro,book,4,3,8,1,1
252,llevar,carry,2,2,1,,
253,tomó,took,2,2,2,,
254,ciencia,science,4,3,8,2,1
255,comer,eat,4,2,1,,
256,habitación,room,4,3,6,2,1
257,amigo,friend,4,1,1,1,1
258,comenzó,began,2,2,2,,
259,idea,idea,4,3,2,2,1
260,pez,fish,4,3,4,1,1
261,montaña,mountain,4,3,4,2,1
262,parar,stop,2,2,1,,
263,una vez,once,4,4,4,,
264,base,base,2,3,3,2,1
265,escuchar,hear,4,2,1,,
266,caballo,horse,4,3,4,1,1
267,cortar,cut,4,2,1,,
268,seguro,sure,4,4,6,,
269,ver,watch,2,2,2,,
270,color,color,4,3,8,1,1
271,cara,face,4,3,2,2,1
272,madera,wood,2,3,4,2,1
273,principal,main,4,4,5,,
274,abierta,open,4,4,2,,
275,parecer,seem,4,2,2,,
276,juntos,together,4,4,6,,
277,próximo,next,4,4,5,,
278,blanco,white,4,4,2,,
279,niños,children,4,1,1,3,2
280,comenzar,begin,4,2,2,,
281,conseguido,got,2,2,2,,
282,caminar,walk,4,2,1,,
283,ejemplo,example,2,3,8,1,1
284,aliviar,ease,2,2,1,,
285,papel,paper,4,3,8,1,1
286,grupo,group,2,3,7,1,1
287,siempre,always,4,5,,,
288,música,music,4,3,8,2,1
289,esos,those,2,1,3,1,2
290,ambos,both,2,4,4,,
291,marca,mark,4,3,11,2,1
292,a menudo,often,2,5,,,
293,carta,letter,4,3,7,2,1
294,hasta,until,2,6,,,
295,milla,mile,2,3,5,2,1
296,río,river,4,3,4,1,1
297,coche,car,2,3,5,1,1
298,pies,feet,4,3,2,1,2
299,cuidado,care,2,3,9,1,1
300,segundo,second,4,4,4,,
301,suficiente,enough,2,4,2,,
302,llano,plain,2,4,2,,
303,chica,girl,4,1,1,2,1
304,habitual,usual,2,4,6,,
305,joven,young,4,4,7,,
306,listo,ready,4,4,7,,
307,por encima de,over,2,6,,,
308,nunca,ever,4,5,,,
309,rojo,red,4,4,2,,
310,lista,list,2,3,8,2,1
311,aunque,though,2,6,,,
312,sentir,feel,4,2,2,,
313,conversación,talk,2,3,7,2,1
314,pájaro,bird,2,3,4,1,1
315,pronto,soon,4,5,,,
316,cuerpo,body,4,3,2,1,1
317,perro,dog,4,3,4,1,1
318,familia,family,4,1,1,3,1
319,directa,direct,4,4,5,,
320,plantear,suggest,2,2,1,,
321,dejar,leave,4,2,1,,
322,canción,song,2,3,9,2,1
323,medir,measure,2,2,2,,
324,puerta,door,2,3,6,2,1
325,producto,product,4,3,7,1,1
326,negro,black,4,4,2,,
327,corto,short,2,4,2,,
328,numeral,numeral,4,4,4,,
329,clase,class,4,3,8,2,1
330,viento,wind,2,3,4,1,1
331,pregunta,question,4,3,8,2,1
332,suceder,happen,2,2,1,,
333,completo,complete,4,4,4,,
334,barco,ship,4,3,5,1,1
335,zona,area,2,3,3,2,1
336,medio,half,2,4,4,,
337,roca,rock,2,3,4,2,1
338,orden,order,2,3,9,2,1
339,fuego,fire,4,3,4,1,1
340,el sur,south,4,3,5,1,1
341,problema,problem,4,3,8,2,1
342,pieza,piece,2,3,2,2,1
343,dicho,told,2,2,2,,
344,sabía,knew,2,2,2,,
345,pasar,pass,4,2,1,,
346,desde,since,2,6,,,
347,cima,top,2,3,3,2,1
348,todo,whole,2,4,4,,
349,rey,king,4,1,1,1,1
350,calle,street,4,3,5,2,1
351,centimetro,centimeter,2,3,5,1,1
352,multiplicar,multiply,2,2,1,,
353,nada,nothing,2,1,1,3,1
354,curso,course,2,3,5,1,1
355,quedarse,stay,4,2,1,,
356,rueda,wheel,2,3,5,2,1
357,completo,full,4,4,2,,
358,fuerza,force,2,3,4,2,1
359,azul,blue,4,4,2,,
360,objeto,object,4,3,11,1,1
361,decidir,decide,4,2,1,,
362,superficie,surface,2,3,2,2,1
363,profunda,deep,4,4,5,,
364,luna,moon,4,3,4,2,1
365,isla,island,4,3,5,2,1
366,pie,foot,4,3,2,1,1
367,sistema,system,4,3,7,2,1
368,ocupado,busy,4,4,7,,
369,prueba,test,4,3,8,2,1
370,registro,record,2,3,8,1,1
371,barco,boat,4,3,5,1,1
372,común,common,2,4,7,,
373,oro,gold,4,3,4,1,1
374,posible,possible,4,4,6,,
375,plano,plane,4,3,2,1,1
376,en lugar de eso,instead,2,5,,,
377,seco,dry,4,4,3,,
378,maravilla,wonder,2,3,4,2,1
379,risa,laugh,4,3,9,2,1
380,mil,thousand,4,4,4,,
381,hace,ago,4,5,,,
382,corrió,ran,2,2,2,,
383,comprobar,check,2,2,1,,
384,juego,game,4,3,9,1,1
385,forma,shape,4,3,2,2,1
386,equiparar,equate,2,2,1,,
387,caliente,hot,4,4,3,,
388,señorita,miss,4,1,1,2,1
389,traído,brought,2,2,2,,
390,calor,heat,2,3,4,1,1
391,nieve,snow,2,3,4,2,1
392,neumáticos,tire,4,3,5,1,1
393,traer,bring,2,2,2,,
394,sí,yes,4,6,,,
395,distante,distant,2,4,5,,
396,llenar,fill,4,2,1,,
397,al este,east,2,3,5,2,1
398,pintar,paint,2,2,1,,
399,idioma,language,4,3,8,2,1
400,entre,among,4,6,,,
401,unidad,unit,4,3,2,2,1
402,potencia,power,2,3,2,2,1
403,ciudad,town,4,3,5,2,1
404,fina,thin,2,4,2,,
405,cierto,certain,2,4,8,,
406,volar,fly,2,2,2,,
407,caer,fall,2,2,2,,
408,conducir,lead,2,2,2,,
409,grito,cry,2,3,9,1,1
410,oscuro,dark,4,4,3,,
411,máquina,machine,4,3,7,2,1
412,nota,note,4,3,8,2,1
413,esperar,wait,4,2,1,,
414,plan,plan,2,3,9,1,1
415,figura,figure,4,3,2,2,1
416,estrella,star,4,3,4,2,1
417,caja,box,4,3,2,2,1
418,sustantivo,noun,4,3,8,1,1
419,campo,field,2,3,4,1,1
420,resto,rest,2,3,9,1,1
421,correcta,correct,4,4,8,,
422,capaz,able,2,4,6,,
423,kilo,kilo,4,3,2,1,1
424,hecho,done,4,2,2,,
425,belleza,beauty,2,3,11,2,1
426,manejar,drive,2,2,1,,
427,destacar,stand out,2,2,1,,
428,contener,contain,4,2,2,,
429,delante,front,2,3,2,2,1
430,enseñar,teach,2,2,1,,
431,semana,week,4,3,10,2,1
432,último,final,4,4,4,,
433,dio,gave,2,2,2,,
434,verde,green,2,4,2,,
435,oh,oh,4,6,,,
436,rápido,quick,4,4,7,,
437,desarrollar,develop,4,2,1,,
438,océano,ocean,2,3,4,1,1
439,calido,warm,4,4,3,,
440,libre,free,4,4,6,,
441,minuto,minute,4,3,10,1,1
442,fuerte,strong,4,4,6,,
443,especial,special,4,4,8,,
444,mente,mind,2,3,2,2,1
445,detrás,behind,2,6,,,
446,claro,clear,4,4,3,,
447,cola,tail,2,3,2,2,1
448,producir,produce,4,2,2,,
449,hecho,fact,2,3,7,1,1
450,espacio,space,4,3,3,1,1
451,oído,heard,2,2,2,,
452,mejor,best,4,4,1,,
453,hora,hour,4,3,10,2,1
454,mejor,better,4,4,1,,
455,verdadero,true,2,4,6,,
456,durante,during,4,6,,,
457,cien,hundred,2,4,4,,
458,cinco,five,2,4,4,,
459,recordar,remember,2,2,1,,
460,paso,step,2,3,5,1,1
461,temprana,early,2,5,,,
462,agarrar,hold,2,2,1,,
463,oeste,west,4,3,5,2,1
464,suelo,ground,2,3,4,1,1
465,interés,interest,2,3,11,1,1
466,llegar,reach,2,2,1,,
467,rápido,fast,4,4,7,,
468,verbo,verb,4,3,8,1,1
469,cantar,sing,4,2,1,,
470,escuchar,listen,4,2,1,,
471,seis,six,4,4,4,,
472,mesa,table,4,3,6,2,1
473,viajes,travel,4,3,5,1,1
474,menos,less,4,4,2,,
475,mañana,morning,4,3,10,2,1
476,diez,ten,2,4,4,,
477,sencilla,simple,2,4,6,,
478,varios,several,4,1,1,3,2
479,vocal,vowel,4,3,8,1,1
480,hacia,toward,4,6,,,
481,guerra,war,4,3,9,2,1
482,poner,lay,2,2,2,,
483,contra,against,2,6,,,
484,patrón,pattern,2,3,7,1,1
485,lenta,slow,2,4,7,,
486,centro,center,4,3,3,1,1
487,amar,love,2,3,2,1,1
488,persona,person,4,1,1,3,1
489,dinero,money,4,3,7,1,1
490,servir,serve,4,2,2,,
491,aparecer,appear,2,2,1,,
492,carretera,road,2,3,5,2,1
493,mapa,map,4,3,5,2,1
494,lluvia,rain,4,3,4,2,1
495,regla,rule,4,3,8,2,1
496,gobernar,govern,2,2,2,,
497,jalar,pull,2,2,1,,
498,frío,cold,4,4,3,,
499,aviso,notice,2,3,7,1,1
500,voz,voice,2,3,2,2,1
501,energía,energy,4,3,4,2,1
