Index,Spanish,English,Rating,Major,Minor,Gender,Quantity
341,problema,problem,4,3,8,2,1
342,pieza,piece,4,3,2,2,1
343,dicho,told,4,2,2,,
344,conocer,to know sb.,4,2,1,,
345,pasar,pass,4,2,1,,
346,desde,since,4,6,,,
347,cima,top,4,3,3,2,1
348,todo,whole,4,4,4,,
349,rey,king,4,1,1,1,1
350,calle,street,4,3,5,2,1
351,centimetro,centimeter,4,3,5,1,1
352,multiplicar,multiply,4,2,1,,
353,nada,nothing,4,1,1,3,1
354,curso,course,4,3,5,1,1
355,quedarse,stay,4,2,1,,
356,rueda,wheel,4,3,5,2,1
357,completo,full,4,4,2,,
358,fuerza,force,4,3,4,2,1
359,azul,blue,4,4,2,,
360,objeto,object,4,3,11,1,1
361,decidir,decide,4,2,1,,
362,superficie,surface,4,3,2,2,1
363,profunda,deep,4,4,5,,
364,luna,moon,4,3,4,2,1
365,isla,island,4,3,5,2,1
366,pie,foot,4,3,2,1,1
367,sistema,system,4,3,7,2,1
368,ocupado,busy,4,4,7,,
369,prueba,test,4,3,8,2,1
370,registro,record,4,3,8,1,1
371,barco,boat,4,3,5,1,1
372,común,common,4,4,7,,
373,oro,gold,4,3,4,1,1
374,posible,possible,4,4,6,,
375,plano,plane,4,3,2,1,1
376,en lugar de eso,instead,4,5,,,
377,seco,dry,4,4,3,,
378,maravilla,wonder,4,3,4,2,1
379,risa,laugh,4,3,9,2,1
380,mil,thousand,4,4,4,,
381,hace,ago,4,5,,,
382,corrido,ran,4,2,2,,
383,comprobar,check,4,2,1,,
384,juego,game,4,3,9,1,1
385,forma,shape,4,3,2,2,1
386,equiparar,equate,4,2,1,,
387,caliente,hot,4,4,3,,
388,señorita,miss,4,1,1,2,1
389,traído,brought,4,2,2,,
390,calor,heat,4,3,4,1,1
391,nieve,snow,4,3,4,2,1
392,neumáticos,tire,4,3,5,1,1
393,traer,bring,4,2,2,,
394,sí,yes,4,7,6,,
395,distante,distant,4,4,5,,
396,llenar,fill,4,2,1,,
397,al este,east,4,3,5,2,1
398,pintar,paint,4,2,1,,
399,idioma,language,4,3,8,2,1
400,entre,among,4,6,,,
401,unidad,unit,4,3,2,2,1
402,potencia,power,4,3,2,2,1
403,ciudad,town,4,3,5,2,1
404,fina,thin,4,4,2,,
405,cierto,certain,4,4,8,,
406,volar,fly,4,2,2,,
407,caer,fall,4,2,2,,
408,conducir,lead,4,2,2,,
409,grito,cry,4,3,9,1,1
410,oscuro,dark,4,4,3,,
411,máquina,machine,4,3,7,2,1
412,nota,note,4,3,8,2,1
413,esperar,wait,4,2,1,,
414,plan,plan,4,3,9,1,1
415,figura,figure,4,3,2,2,1
416,estrella,star,4,3,4,2,1
417,caja,box,4,3,2,2,1
418,sustantivo,noun,4,3,8,1,1
419,campo,field,4,3,4,1,1
420,resto,rest,4,3,9,1,1
421,correcta,correct,4,4,8,,
422,capaz,able,4,4,6,,
423,kilo,kilo,4,3,2,1,1
424,hecho,done,4,2,2,,
425,belleza,beauty,4,3,11,2,1
426,manejar,drive,4,2,1,,
427,destacar,stand out,4,2,1,,
428,contener,contain,4,2,2,,
429,delante,front,4,3,2,2,1
430,enseñar,teach,4,2,1,,
431,semana,week,4,3,10,2,1
432,último,final,4,4,4,,
433,dio,gave,4,2,2,,
434,verde,green,4,4,2,,
435,oh,oh,4,6,,,
436,rápido,quick,4,4,7,,
437,desarrollar,develop,4,2,1,,
438,océano,ocean,4,3,4,1,1
439,calido,warm,4,4,3,,
440,libre,free,4,4,6,,
441,minuto,minute,4,3,10,1,1
442,fuerte,strong,4,4,6,,
443,especial,special,4,4,8,,
444,mente,mind,4,3,2,2,1
445,detrás,behind,4,6,,,
446,claro,clear,4,4,3,,
447,cola,tail,4,3,2,2,1
448,producir,produce,4,2,2,,
449,hecho,fact,4,3,7,1,1
450,espacio,space,4,3,3,1,1
451,oír,to hear,4,2,2,,
452,mejor,best,4,4,1,,
453,hora,hour,4,3,10,2,1
454,mejor,better,4,4,1,,
455,verdadero,true,4,4,6,,
456,durante,during,4,6,,,
457,cien,hundred,4,4,4,,
458,cinco,five,4,4,4,,
459,recordar,remember,4,2,1,,
460,paso,step,4,3,5,1,1
461,temprana,early,4,5,,,
462,agarrar,hold,4,2,1,,
463,oeste,west,4,3,5,2,1
464,suelo,ground,4,3,4,1,1
465,interés,interest,4,3,11,1,1
466,llegar,arrive/come/reach,4,2,1,,
467,rápido,fast,4,4,7,,
468,verbo,verb,4,3,8,1,1
469,cantar,sing,4,2,1,,
470,escuchar,to listen to,4,2,1,,
471,seis,six,4,4,4,,
472,mesa,table,4,3,6,2,1
473,viajes,travel,4,3,5,1,1
474,menos,less,4,4,2,,
475,mañana,morning,4,3,10,2,1
476,diez,ten,4,4,4,,
477,sencilla,simple,4,4,6,,
478,varios,several,4,1,1,3,2
479,vocal,vowel,4,3,8,1,1
480,hacia,toward,4,6,,,
481,guerra,war,4,3,9,2,1
482,poner,to lay,4,2,2,,
483,contra,against,4,6,,,
484,patrón,pattern,4,3,7,1,1
485,lenta,slow,4,4,7,,
486,centro,center,4,3,3,1,1
487,amar,love,4,3,2,1,1
488,persona,person,4,1,1,3,1
489,dinero,money,4,3,7,1,1
490,servir,serve,4,2,2,,
491,aparecer,appear,4,2,1,,
492,carretera,road,4,3,5,2,1
493,mapa,map,4,3,5,2,1
494,lluvia,rain,4,3,4,2,1
495,regla,rule,4,3,8,2,1
496,gobernar,to govern,4,2,2,,
497,jalar,pull,4,2,1,,
498,frío,cold,4,4,3,,
499,aviso,notice,4,3,7,1,1
500,voz,voice,4,3,2,2,1
501,energía,energy,4,3,4,2,1
502,caza,hunt,4,3,4,2,1
503,probable,probable,4,4,6,,
504,cama,bed,4,3,6,2,1
505,hermano,brother,4,1,1,1,1
506,huevo,egg,4,3,1,1,1
507,paseo,walk/ride,4,3,5,1,1
508,celular,cell,4,3,8,1,1
509,creer,believe,4,2,2,,
510,quizás,perhaps,4,6,,,
511,recoger,pick up,4,2,1,,
512,repentina,sudden,4,4,7,,
513,contar,count,4,2,1,,
514,plaza,square,4,3,3,2,1
515,razón,reason,4,3,7,1,1
516,longitud,length,4,3,2,2,1
517,representar,represent,4,2,1,,
518,arte,art,4,3,8,1,1
519,sujeto,subject,4,3,8,1,1
520,región,region,4,3,3,2,1
521,tamaño,size,4,3,2,1,1
522,variar,to vary,4,2,1,,
523,resolver,settle,4,2,1,,
524,hablar,speak,4,2,1,,
525,peso,weight,4,3,2,1,1
526,general,general,4,4,8,,
527,hielo,ice,4,3,4,1,1
528,materia,mass,4,3,2,2,1
529,círculo,circle,4,3,2,1,1
530,par,pair,4,3,11,1,1
531,incluir,include,4,2,2,,
532,dividir,divide,4,2,1,,
533,sílaba,syllable,4,3,8,2,1
534,sentido,felt,4,2,2,,
535,gran,grand,4,4,2,,
536,bola,ball,4,3,9,2,1
537,aún,yet,4,6,,,
538,ola,wave,4,3,4,2,1
539,caer,drop,4,2,2,,
540,corazón,heart,4,3,2,1,1
541,ancho,width,4,3,2,1,1
542,presente,present,4,3,10,2,1
543,pesada,heavy,4,4,2,,
544,danza,dance,4,3,9,2,1
545,motor,engine,4,3,5,1,1
546,posición,position,4,3,3,2,1
547,brazo,arm,4,3,2,1,1
548,amplio,wide,4,4,2,,
549,vela,sail,4,3,5,2,1
550,material,material,4,3,2,1,1
551,fracción,fraction,4,3,8,2,1
552,bosque,forest,4,3,4,1,1
553,sentarse,sit,4,2,2,,
554,carrera,race,4,3,9,2,1
555,ventana,window,4,3,6,2,1
556,tienda,store,4,3,3,2,1
557,verano,summer,4,3,10,1,1
558,tren,train,4,3,5,1,1
559,sueño,dream,4,3,2,1,1
560,demostrar,to prove,4,2,1,,
561,solitario,lone,4,4,6,,
562,pierna,leg,4,3,2,2,1
563,ejercicio,exercise,4,3,9,1,1
564,pared,wall,4,3,6,1,1
565,capturas,the catches,4,3,9,2,2
566,montar,mount,4,2,1,,
567,desear,to wish,4,2,1,,
568,cielo,sky,4,3,4,1,1
569,bordo,board,4,3,6,1,1
570,alegría,joy,4,3,2,2,1
571,invierno,winter,4,3,10,1,1
572,ayer,yesterday,4,6,,,
573,escrito,written,4,2,1,,
574,salvaje,wild,4,4,8,,
575,instrumento,instrument,4,3,8,1,1
576,guardar,to keep,4,2,1,,
577,vidrio/vaso,glass,4,3,1,1,1
578,hierba,grass,4,3,4,2,1
579,vaca,cow,4,3,4,2,1
580,trabajo,job,4,3,7,1,1
581,borde,edge,4,3,3,1,1
582,señal,sign,4,3,5,2,1
583,visitaf,visit,4,2,1,,
584,pasado,past,4,3,10,1,1
585,suave,soft,4,4,1,,
586,diversión,fun,4,3,2,2,1
587,brillante,bright,4,4,1,,
588,gas,gas,4,3,2,1,1
589,tiempo,weather,4,3,4,1,1
590,mes,month,4,3,10,1,1
591,millones,million,4,4,4,,
592,soportar,bear,4,2,1,,
593,acabar,finish,4,2,1,,
594,feliz,happy,4,4,6,,
595,esperanza,hope,4,3,2,2,1
596,flor,flower,4,3,4,2,1
597,vestir,to wear,4,2,2,,
598,extraño,strange,4,4,6,,
599,ido,gone,4,2,2,,
600,comercio,trade,4,3,7,1,1
601,melodía,melody,4,3,8,2,1
602,viaje,trip,4,3,5,1,1
603,oficina,office,4,3,7,2,1
604,recibir,receive,4,2,1,,
605,fila,row,4,3,3,2,1
606,boca,mouth,4,3,2,2,1
607,exacta,exact,4,4,7,,
608,símbolo,symbol,4,3,11,1,1
609,morir,die,4,2,2,,
610,menos,least,4,1,3,3,1
611,problemas,trouble,4,3,9,1,2
612,grito,shout,4,3,2,1,1
613,excepto,except,4,6,,,
614,escribió,he/she wrote,4,2,2,,
615,semilla,seed,4,3,4,2,1
616,tono,tone,4,3,8,1,1
617,unirse,to join,4,2,1,,
618,sugerir,suggest,4,2,2,,
619,limpia,clean,4,4,1,,
620,rotura,break,4,3,9,2,1
621,dama,lady,4,1,1,2,1
622,patio,yard,4,3,3,1,1
623,aumentar,increase,4,2,1,,
624,mal,bad,4,4,6,,
625,golpe,blow/hit,4,3,9,1,1
626,aceite,oil,4,3,1,1,1
627,sangre,blood,4,3,2,2,1
628,tocar,touch,4,2,1,,
629,creció,grew,4,2,2,,
630,céntimo,cent,4,3,7,1,1
631,mezclar,mix,4,2,1,,
632,equipo,team,4,3,7,1,1
633,alambre,wire,4,3,6,1,1
634,costo,cost,4,3,7,1,1
635,perdido,lost,4,4,7,,
636,marrón,brown,4,4,2,,
637,desgastar,wear away,4,2,1,,
638,jardín,garden,4,3,3,1,1
639,igual,equal,4,4,2,,
640,enviado,sent,4,2,2,,
641,elegir,choose,4,2,2,,
642,caído,fallen,4,2,2,,
643,encajar,fit,4,2,1,,
644,fluir,flow,4,2,2,,
645,justo,fair,4,4,1,,
646,banco,bank,4,3,3,1,1
647,recoger,collect,4,2,2,,
648,guardar,save,4,2,1,,
649,control,control,4,3,9,1,1
650,decimal,decimal,4,4,4,,
651,oreja,ear,4,3,2,2,1
652,(de)más/otro,else,4,5,,,
653,bastante,enough/quite,4,4,4,,
654,romper,break,4,2,2,,
655,caso,case,4,3,7,1,1
656,medio,middle,4,4,2,,
657,matar,kill,4,2,1,,
658,hijo,son,4,1,1,1,1
659,lago,lake,4,3,4,1,1
660,momento,moment,4,3,10,1,1
661,escala,scale,4,3,2,2,1
662,fuerte,loud,4,4,1,,
663,primavera,spring,4,3,10,2,1
664,observar,observe,4,2,1,,
665,niño,child,4,1,1,3,1
666,recta,straight,4,4,5,,
667,consonante,consonant,4,3,8,2,1
668,nación,nation,4,3,5,2,1
669,diccionario,dictionary,4,3,8,1,1
670,leche,milk,4,3,1,2,2
671,velocidad,speed,4,3,5,2,1
672,método,method,4,3,7,1,1
673,órgano,organ,4,3,2,1,1
674,pagar,to pay,4,2,1,,
675,edad,age,4,3,10,2,1
676,sección,section,4,3,3,2,1
677,vestido,dress,4,3,2,1,1
678,nube,cloud,4,3,4,2,1
679,sorpresa,surprise,4,3,9,2,1
680,tranquila,quiet,4,4,1,,
681,piedra,stone,4,3,4,2,1
682,pequeñito,tiny,4,4,2,,
683,ascenso,climb,4,3,9,1,1
684,fresco,cool,4,4,3,,
685,diseño,design,4,3,7,1,1
686,pobre,poor,4,4,6,,
687,mucho,lot,4,4,4,,
688,experimento,experiment,4,3,8,1,1
689,inferior,bottom,4,4,5,,
690,llave,key,4,3,6,2,1
691,hierro,iron,4,3,4,1,1
692,solo,single,4,4,4,,
693,palo,stick,4,3,4,1,1
694,plana,flat,4,4,5,,
695,veinte,twenty,4,4,4,,
696,piel,skin,4,3,2,2,1
697,sonrisa,smile,4,3,2,2,1
698,plegar,fold,4,2,1,,
699,agujero,hole,4,3,4,1,1
700,saltar,jump,4,2,1,,
701,bebé,baby,4,1,1,3,1
702,ocho,eight,4,4,4,,
703,pueblo,village,4,3,5,1,1
704,reunir,meet,4,2,2,,
705,raíz,root,4,3,4,2,1
706,comprar,buy,4,2,1,,
707,aumentar,raise,4,2,1,,
708,resolver,solve,4,2,2,,
709,de metal,made of metal,4,4,2,,
710,si,whether,4,6,,,
711,empujar,push,4,2,1,,
712,siete,seven,4,4,4,,
713,párrafo,paragraph,4,3,8,1,1
714,tercero,third,4,4,4,,
715,deberá,shall,4,2,1,,
716,en espera,on hold,4,7,9,,
717,pelo,hair,4,3,2,1,1
718,describir,describe,4,2,1,,
719,cocinero,cook,4,3,7,1,1
720,piso,floor,4,3,3,1,1
721,ya sea,either,4,6,,,
722,resultado,result,4,3,7,1,1
723,quemar,burn,4,2,1,,
724,colina,hill,4,3,4,2,1
725,seguro,safe,4,4,6,,
726,gato,cat,4,3,4,1,1
727,siglo,century,4,3,10,1,1
728,considerar,consider,4,2,1,,
729,tipo,type,4,3,11,1,1
730,ley,law,4,3,7,2,1
731,poco,bit,4,4,4,,
732,costa,coast,4,3,4,2,1
733,copia,copy,4,3,7,2,1
734,frase,phrase,4,3,8,2,1
735,silencio,silent,4,4,1,,
736,de altura,high,4,4,2,,
737,arena,sand,4,3,4,2,1
738,suelo,ground,4,3,4,1,1
739,rollo,roll,4,3,2,1,1
740,temperatura,temperature,4,3,8,2,1
741,dedo,finger,4,3,2,1,1
742,industria,industry,4,3,7,2,1
743,valor,value,4,3,7,1,1
744,pelear,to fight,4,2,1,,
745,mentira,lie,4,3,9,2,1
746,batir,beat,4,2,1,,
747,excitar,to excite,4,2,1,,
748,natural,natural,4,4,1,,
749,vista,view,4,3,5,2,1
750,sentido,sense,4,3,2,1,1
751,capital,capital,4,3,7,2,1
752,no lo hará,won't do it,4,2,2,,
753,silla,chair,4,3,6,2,1
754,peligro,danger,4,3,9,1,1
755,fruta,fruit,4,3,1,2,1
756,rica,rich,4,4,6,,
757,grueso,thick,4,4,2,,
758,soldado,soldier,4,1,1,1,1
759,proceso,process,4,3,7,1,1
760,operar,operate,4,2,1,,
761,práctica,practice,4,3,7,2,1
762,separada,separate,4,4,2,,
763,difícil,difficult,4,4,6,,
764,médico,doctor,4,3,7,1,1
765,por favor,please,4,7,3,,
766,proteger,to protect,4,2,2,,
767,mediodía,noon,4,3,10,1,1
768,cultivo,crop,4,3,4,1,1
769,moderno,modern,4,4,7,,
770,elemento,element,4,3,4,1,1
771,golpear,to hit,4,2,1,,
772,estudiante,student,4,3,8,3,1
773,esquina,corner,4,3,2,2,1
774,partido,party,4,3,7,1,1
775,suministro,supply,4,3,11,1,1
776,de quién/cuya,whose,4,1,2,3,1
777,localizar,locate,4,2,1,,
778,anillo,ring,4,3,2,1,1
779,carácter,character,4,3,2,1,1
780,insecto,insect,4,3,4,1,1
781,capturado,caught,4,2,1,,
782,período,period,4,3,10,1,1
783,indicar,indicate,4,2,1,,
784,radio,radio,4,3,9,1,1
785,habló,I spoke,4,2,1,,
786,átomo,atom,4,3,4,1,1
787,el ser humano,human being,4,1,1,3,1
788,historia,history,4,3,10,2,1
789,efecto,effect,4,3,9,1,1
790,eléctrica,electric,4,4,3,,
791,esperar,to expect,4,2,1,,
792,hueso,bone,4,3,2,1,1
793,ferrocarril,railroad,4,3,5,1,1
794,imaginar,imagine,4,2,1,,
795,proporcionar,provide,4,2,1,,
796,estar de acuerdo,agree,4,2,2,,
797,por lo tanto,thus,4,6,,,
798,suave,gentle,4,4,1,,
799,mujer,woman,4,1,1,2,1
800,capitán,captain,4,3,7,1,1
801,adivinar,guess,4,2,1,,
802,necesario,necessary,4,4,8,,
803,agudo,sharp,4,4,2,,
804,ala,wing,4,3,2,1,1
805,crear,create,4,2,1,,
806,vecino,neighbor,4,1,1,1,1
807,lavar,wash,4,2,1,,
808,bate,bat,4,3,4,1,1
